Donated,Gender,Race,Currently Using Award,Education,Years in Current job,CY Helped in Career,Recommend CY,Significantly positive impact,Helped Develop Relationship,Increased Civic Engagement,Top Experience Score,Will Support,Support CY Score
0,0,1,1,2,1,3,1,3,1,1,2.864864865,1,1
0,2,9,0,1,1,4,0,4,1,1,2.918918919,1,1
1,0,6,0,1,1,3,2,4,1,1,3.364864865,1,4
1,1,9,1,1,2,4,2,4,1,1,0.648648649,1,4
1,0,9,1,2,1,3,1,4,1,1,2.797297297,1,4
0,0,9,1,2,1,3,0,3,1,0,2.108108108,1,1
1,1,9,0,1,2,3,2,4,1,0,1.108108108,0,0
1,1,9,1,1,1,4,1,4,1,1,1.581081081,0,0
1,1,9,1,2,1,3,2,4,1,1,2.513513514,1,3
1,0,9,1,3,1,2,2,4,1,1,3.256756757,1,4
1,0,9,1,2,2,3,2,4,1,1,1.067567568,1,2
0,0,9,1,2,1,4,2,4,1,0,1.959459459,1,2
1,1,9,1,1,1,4,2,4,1,1,1.756756757,1,4
1,0,9,1,1,1,4,2,4,1,1,1.527027027,1,2
1,1,9,1,0,1,4,1,4,1,0,1.675675676,1,2
1,0,4,1,1,2,4,1,4,1,1,4.662162162,1,4
1,2,8,1,2,2,3,1,4,1,1,4.418918919,1,2
0,1,9,1,1,1,4,2,4,1,1,4.108108108,1,1
0,0,9,0,1,1,3,2,3,1,1,4.27027027,1,3
0,1,1,1,2,1,3,2,4,1,1,3.162162162,1,2
0,1,9,1,2,1,2,0,3,1,1,2.878378378,0,0
0,0,9,1,2,1,3,2,4,1,1,2.716216216,1,1
0,2,8,1,2,1,1,0,2,0,0,1.648648649,,0
1,0,4,1,1,1,4,1,4,1,0,1.216216216,1,1
1,0,9,1,2,2,3,1,3,1,1,0.864864865,1,4
0,1,9,0,,1,1,1,3,1,0,0.77027027,1,4
1,1,9,1,0,1,4,2,4,1,1,4.689189189,1,2
0,0,9,0,3,1,4,2,4,1,1,1.608108108,1,1
1,0,9,1,,1,3,2,4,1,1,2.432432432,1,3
0,1,9,1,2,4,3,2,4,1,1,2.108108108,1,1
1,1,9,1,2,1,3,0,3,1,0,1.216216216,1,1
0,1,4,1,1,2,2,2,4,1,1,1.810810811,1,0
1,0,9,0,1,1,3,2,4,1,1,3.216216216,1,4
1,1,4,1,2,1,3,1,4,1,1,3.324324324,1,3
1,0,9,1,2,2,4,2,4,1,1,1.378378378,1,4
1,1,9,1,2,1,2,1,3,1,1,2.554054054,1,24
1,0,6,1,1,1,4,2,4,1,1,2.675675676,1,
1,0,3,1,1,1,2,0,3,1,0,1.540540541,1,2
0,0,1,1,1,1,4,2,4,1,1,4.621621622,1,3
1,1,9,1,2,2,3,1,4,1,1,3.040540541,1,2
1,0,4,1,,2,1,1,3,1,1,3.216216216,0,0
1,0,9,0,1,1,4,2,4,1,1,1.216216216,1,3
1,0,9,1,2,1,3,2,4,1,1,4.310810811,1,1
0,0,9,1,1,3,2,1,2,1,1,2.783783784,1,1
1,0,9,0,1,1,4,2,4,1,1,1.959459459,1,1
1,0,9,1,2,1,3,1,3,1,1,1.432432432,1,3
0,0,9,1,1,1,2,1,3,1,1,1.567567568,0,0
1,1,9,0,,1,1,1,4,1,0,3.567567568,1,4
1,1,9,1,,1,4,2,4,1,1,2.391891892,1,4
1,1,1,1,1,1,1,1,4,1,1,1.121621622,1,1
0,1,9,1,,1,4,2,4,1,1,2.716216216,1,3
0,0,9,1,,1,2,1,4,1,1,0.824324324,,0
1,2,3,0,,1,2,2,4,1,1,1.824324324,1,4
1,0,9,1,,3,2,2,4,1,1,4.621621622,1,1
0,1,9,1,,3,3,1,4,1,1,3.040540541,1,4
1,0,9,1,4,2,3,2,4,1,1,3.040540541,1,3
0,0,4,0,1,1,2,1,4,1,1,2.432432432,0,0
1,0,4,0,1,1,4,2,4,1,0,1.635135135,1,1
1,,8,1,1,1,4,1,3,1,1,3.608108108,1,4
